epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
112,0.45507106721271984,0.4528710725893825,0.328406391022685,0.3324315266646425,0.77,0.001,12,27,37,50,61,76,86,101,110,125,139,149,160,174,185
113,0.4551915201156348,0.4539544962080173,0.3287037123113521,0.3338145073980513,0.78,0.001,12,27,37,50,61,76,86,101,110,125,139,149,160,174,185
114,0.4557937846302096,0.4550379198266522,0.3295914360573271,0.33516677072533674,0.79,0.001,12,27,37,50,61,76,86,101,110,125,139,149,160,174,185
115,0.45615514333895446,0.4561213434452871,0.3301517106382085,0.33668038125996747,0.79,0.001,12,27,37,50,61,76,86,101,110,125,139,149,160,174,185
116,0.4568778607564442,0.4561213434452871,0.3311210284453494,0.33668038125996747,0.8,0.001,12,27,37,50,61,76,86,101,110,125,139,149,160,174,185
117,0.45699831365935917,0.4561213434452871,0.3313526703932077,0.33684177381865643,0.81,0.001,12,27,37,50,61,76,86,101,110,125,139,149,160,174,185
118,0.45699831365935917,0.4561213434452871,0.3314402241319726,0.336872144811715,0.81,0.001,12,27,37,50,61,76,86,101,110,125,139,149,160,174,185
119,0.4571187665622741,0.4561213434452871,0.3316629930600299,0.336872144811715,0.82,0.001,12,27,37,50,61,76,86,101,110,125,139,149,160,174,185
120,0.4573596723681041,0.4561213434452871,0.33200618703864626,0.3369025130230694,0.83,0.001,12,27,37,50,61,76,86,101,110,125,139,149,160,174,185
121,0.457600578173934,0.4561213434452871,0.33239014572232517,0.3369025130230694,0.83,0.001,12,27,37,50,61,76,86,101,110,125,139,149,160,174,185
122,0.45784148397976393,0.4582881906825569,0.3327718713022032,0.3396048218149348,0.84,0.001,12,27,37,50,61,76,86,101,110,125,139,149,160,174,185
123,0.45808238978559385,0.4582881906825569,0.33316651203024583,0.3396048218149348,0.85,0.001,12,27,37,50,61,76,86,101,111,125,139,149,161,174,185
124,0.4584437484943387,0.4593716143011918,0.3336635459515327,0.3409935097639706,0.85,0.001,12,27,37,50,61,76,86,101,111,125,139,149,161,174,185
125,0.45892556010599855,0.4593716143011918,0.3343157906311359,0.34102368198154887,0.86,0.001,12,27,37,50,61,76,86,101,111,125,139,149,161,174,185
126,0.45916646591182847,0.4593716143011918,0.33470629210660796,0.34106139336850894,0.87,0.001,12,27,37,50,61,76,86,101,111,125,139,149,161,174,185
127,0.4596482775234883,0.4593716143011918,0.335344474562703,0.34106139336850894,0.88,0.001,12,27,37,50,61,76,86,101,111,125,139,149,161,174,185
128,0.4596482775234883,0.4593716143011918,0.3354611624963266,0.34122161862178857,0.88,0.001,12,27,37,50,61,76,86,101,111,125,139,149,161,174,185
