epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
38,0.47293447293447294,0.4983974358974359,0.2231676912051197,0.25678385649541646,0.21,0.001,12,24,37,46,59,72,83,93,106,118
39,0.4670584045584046,0.4855769230769231,0.21447747365209757,0.237091177781248,0.21,0.001,12,24,37,46,59,72,83,93,106,118
40,0.46296296296296297,0.4807692307692308,0.2088375899973577,0.2287891849828726,0.22,0.001,12,24,37,46,59,72,83,93,106,118
41,0.45762108262108264,0.47596153846153844,0.2009384887935063,0.22176115213278824,0.23,0.001,12,24,37,46,59,72,83,93,106,118
42,0.4549501424501424,0.47596153846153844,0.1972863116079624,0.22192733595680425,0.23,0.001,12,24,37,46,59,72,83,93,106,118
43,0.45566239316239315,0.47596153846153844,0.19901770202253244,0.22209344882274007,0.24,0.001,12,24,37,46,59,72,83,93,106,118
44,0.45744301994301995,0.47435897435897434,0.20256644587593298,0.2209856431648981,0.25,0.001,12,24,37,46,59,72,83,93,106,118
45,0.4618945868945869,0.47596153846153844,0.21024978766643032,0.224267123886572,0.25,0.001,12,24,37,46,59,72,83,93,106,118
46,0.4699074074074074,0.4807692307692308,0.22353824345950135,0.23444280358968528,0.26,0.001,12,24,37,46,59,72,83,93,106,118
47,0.4756054131054131,0.49038461538461536,0.23329774978068551,0.25078156857414713,0.26,0.001,12,24,37,46,59,72,83,93,106,118
48,0.48183760683760685,0.5,0.24421135310852415,0.2665129526651294,0.27,0.001,12,24,37,46,59,73,83,93,106,118
49,0.489494301994302,0.5064102564102564,0.2573577570413479,0.2774601026335082,0.27,0.001,12,24,37,46,59,73,83,93,106,118
50,0.49537037037037035,0.5144230769230769,0.2672844423054559,0.2917139614074915,0.28,0.001,12,24,37,47,59,73,83,93,106,118
