epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
51,0.1881813599411123,0.2052550229317046,69.67015268952157,64.03105554509273,1.07,0.001,172,330,484,646,831,946,1138,1298,1438,1613,1766,1916,2081,2243,2402,2550,2723,2860,3011,3189,3328,3511,3657,3831,3988
52,0.1949458547752253,0.21252664911967412,69.37928266623437,63.73745472456227,1.08,0.001,173,330,484,646,831,946,1139,1298,1438,1613,1766,1916,2081,2243,2402,2551,2723,2860,3010,3189,3328,3511,3657,3831,3988
53,0.2012327361793126,0.21906815125679668,69.10785063602579,63.47216955953018,1.1,0.001,173,330,484,646,831,945,1140,1299,1438,1614,1767,1916,2082,2243,2402,2551,2723,2860,3010,3188,3327,3510,3657,3830,3988
54,0.2076076327496782,0.22539385468586015,68.8315248167128,63.21457521435425,1.12,0.001,173,330,484,646,831,945,1140,1299,1438,1614,1767,1916,2082,2243,2402,2551,2723,2860,3009,3188,3327,3510,3656,3830,3988
55,0.2141339453740424,0.23154984480781815,68.54748582187388,62.96288744421193,1.14,0.001,173,330,484,645,831,944,1141,1300,1438,1614,1767,1916,2083,2243,2402,2552,2723,2860,3008,3188,3326,3509,3656,3829,3988
56,0.2203294816916599,0.2370933828598749,68.27674827837622,62.73536931030214,1.16,0.001,173,331,484,645,831,944,1142,1300,1439,1614,1768,1916,2083,2243,2401,2552,2722,2860,3008,3187,3325,3509,3655,3829,3987
57,0.22594395158984193,0.2420338514704462,68.03046766890553,62.531909822855646,1.18,0.001,174,331,484,645,832,943,1143,1300,1439,1614,1768,1916,2083,2243,2401,2553,2722,2860,3007,3187,3325,3508,3655,3828,3987
58,0.23135855258804916,0.24702007705115814,67.79211603198229,62.325886381833755,1.19,0.001,174,331,484,644,832,943,1143,1301,1439,1615,1768,1916,2084,2243,2401,2553,2722,2860,3007,3187,3324,3507,3654,3828,3987
59,0.23708949646219868,0.2527531243073504,67.5389102261152,62.08816658339575,1.21,0.001,174,331,485,644,832,942,1144,1301,1439,1615,1769,1916,2084,2243,2401,2554,2722,2860,3006,3186,3324,3507,3654,3827,3987
60,0.24302150291124758,0.25910486847092984,67.27582493803959,61.82372006989914,1.23,0.001,174,332,485,643,832,942,1145,1302,1439,1615,1769,1917,2084,2243,2401,2554,2722,2860,3005,3186,3323,3506,3654,3827,3987
