epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
67,0.36200457776171546,0.37378114842903576,0.19585820136689536,0.20713070229540842,0.46,0.001,19,37,56,74,91,108,123,147,160,181
68,0.36200457776171546,0.37378114842903576,0.19598844429315987,0.2072496976073085,0.47,0.001,19,37,56,74,91,108,123,147,160,181
69,0.36200457776171546,0.37378114842903576,0.19611864503663312,0.2072496976073085,0.47,0.001,19,37,56,74,91,108,123,147,160,181
70,0.3626069148295386,0.37378114842903576,0.19705013131399274,0.20756409742243775,0.48,0.001,19,37,56,74,91,108,123,147,160,181
71,0.36345018672449103,0.37378114842903576,0.19826846030383283,0.20764059896212372,0.49,0.001,19,37,56,74,91,108,123,147,160,181
72,0.36429345861944346,0.37594799566630555,0.19968886354458115,0.21092377107575389,0.49,0.001,20,37,56,74,91,108,122,147,160,181
73,0.3661004698229129,0.37594799566630555,0.2026862621496267,0.21188645429843322,0.5,0.001,20,37,56,74,91,108,122,147,160,181
74,0.368027948439947,0.3781148429035753,0.2059400877533104,0.21568911917098443,0.51,0.001,20,37,56,74,91,108,122,147,160,181
75,0.3694735574027226,0.3781148429035753,0.20864321926558482,0.21649292435739498,0.51,0.001,20,37,56,74,91,108,122,147,160,181
76,0.3715215034333213,0.3781148429035753,0.21198640585510953,0.2172453582293088,0.52,0.001,20,37,56,74,91,108,122,147,160,181
77,0.3730875798096615,0.3781148429035753,0.21467892043085546,0.21801250761984758,0.53,0.001,20,37,56,74,92,108,122,147,160,181
78,0.3745331887724371,0.37919826652221017,0.21723333629679054,0.21982395555667023,0.53,0.001,20,37,56,74,92,108,122,147,160,181
79,0.37573786290808336,0.37919826652221017,0.21936691962360277,0.22027253950024106,0.54,0.001,20,37,56,74,92,108,122,147,160,181
80,0.37670160221660043,0.37919826652221017,0.22098750115629273,0.22077801531396268,0.55,0.001,20,37,56,74,92,108,122,147,160,181
81,0.37766534152511744,0.38244853737811485,0.22275396416092352,0.22548419199265102,0.56,0.001,20,37,56,74,92,108,122,147,160,181
82,0.37874954824719914,0.38244853737811485,0.22455155254777437,0.22556627825503284,0.56,0.001,20,37,56,74,92,108,122,147,160,181
83,0.3801951572099747,0.38353196099674974,0.226815711009411,0.22763891666764702,0.57,0.001,20,37,56,74,92,108,122,147,160,181
84,0.38392964703047827,0.3856988082340195,0.2321272013820197,0.23071009318071245,0.58,0.001,20,37,56,74,92,108,122,147,160,181
85,0.3907962896036622,0.38894907908992415,0.24150789430167086,0.23498620079532806,0.58,0.001,20,37,56,74,92,108,122,147,160,181
86,0.39706059510902303,0.39219934994582883,0.25014230897230294,0.2403046979649146,0.59,0.001,20,37,56,74,92,108,122,147,160,181
87,0.40320443320081917,0.39653304442036835,0.25872561922487547,0.24672380952380957,0.6,0.001,20,37,56,74,92,108,122,147,160,181
88,0.4086254668112276,0.40411700975081255,0.2662960805142538,0.2572558922805236,0.6,0.001,20,37,56,74,92,108,122,147,160,181
89,0.4132032285266835,0.409534127843987,0.2724149552877362,0.2647654209473197,0.61,0.001,20,37,56,74,92,108,122,147,160,181
90,0.4170581857607517,0.41386782231852653,0.2776917511789364,0.2711736261426614,0.62,0.001,20,37,56,74,92,108,121,147,160,181
