epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5
126,0.5668744434550311,0.5592948717948718,0.3854968272875322,0.382960208844237,0.7,0.001,23,44,63,88,110
127,0.5677649154051647,0.5560897435897436,0.38694765263828657,0.379227122539865,0.71,0.001,23,44,63,88,110
128,0.5684772929652716,0.5576923076923077,0.3880214975118538,0.38131041890440387,0.71,0.001,23,44,63,88,110
129,0.5690115761353517,0.5592948717948718,0.3888305629066483,0.38367824843944176,0.72,0.001,23,44,63,88,110
130,0.568833481745325,0.5592948717948718,0.38860603508174785,0.38399241836822606,0.73,0.001,23,44,63,88,110
131,0.5695458593054319,0.5592948717948718,0.38960232244684134,0.38393049472248153,0.73,0.001,23,44,63,88,110
132,0.5693677649154052,0.5560897435897436,0.3894789742310373,0.3796393001345896,0.74,0.001,23,44,63,88,110
133,0.5695458593054319,0.5560897435897436,0.3897815418319933,0.3794811777967647,0.74,0.001,23,44,63,88,110
134,0.5693677649154052,0.5560897435897436,0.38958338887689736,0.3793229748314977,0.75,0.001,23,44,63,88,110
135,0.5697239536954586,0.5576923076923077,0.3901881071163451,0.3816569428238039,0.75,0.001,23,44,63,88,110
136,0.5697239536954586,0.5576923076923077,0.3902519710294805,0.3816569428238039,0.76,0.001,23,44,63,88,110
137,0.5699020480854853,0.5592948717948718,0.3904261268736837,0.3841449628010637,0.76,0.001,23,44,63,88,110
138,0.5704363312555655,0.5592948717948718,0.3912264906992149,0.3841449628010637,0.77,0.001,23,44,63,88,110
139,0.5707925200356189,0.5592948717948718,0.3918394768834824,0.3841449628010637,0.78,0.001,23,44,63,88,110
140,0.5715048975957258,0.5592948717948718,0.39288297818269746,0.3841449628010637,0.78,0.001,23,44,62,88,110
141,0.5729296527159394,0.5592948717948718,0.3952037513189859,0.3841449628010637,0.79,0.001,23,44,62,88,110
142,0.5741763134461264,0.5625,0.3969779874270335,0.3885602710618503,0.79,0.001,23,44,62,88,110
143,0.5757791629563669,0.5625,0.3990606426243237,0.3885602710618503,0.8,0.001,23,44,62,88,110
144,0.5764915405164738,0.5625,0.4001191542822423,0.3885602710618503,0.8,0.001,23,44,62,88,110
145,0.5773820124666073,0.5641025641025641,0.40148622322680283,0.39089179974878885,0.81,0.001,23,44,63,88,110
146,0.5768477292965272,0.5657051282051282,0.40087117987588494,0.393192142903279,0.82,0.001,23,44,63,88,110
147,0.5784505788067675,0.5657051282051282,0.40327633749815983,0.393192142903279,0.82,0.001,22,44,63,88,110
148,0.5786286731967943,0.5657051282051282,0.40369683910296683,0.3932531054229188,0.83,0.001,22,44,63,88,110
149,0.5795191451469278,0.5657051282051282,0.40512493910244374,0.3931616570493498,0.83,0.001,22,44,62,88,110
150,0.5802315227070347,0.5673076923076923,0.40619166175324406,0.39530977453323857,0.84,0.001,22,44,62,88,110
151,0.5805877114870882,0.5689102564102564,0.40677399622754684,0.39760990489861836,0.84,0.001,22,44,62,88,110
152,0.5814781834372217,0.5689102564102564,0.40794924908792496,0.39760990489861836,0.85,0.001,22,44,62,88,110
153,0.5820124666073019,0.5689102564102564,0.4086215552748187,0.39760990489861836,0.85,0.001,22,44,62,89,110
154,0.5818343722172752,0.5705128205128205,0.408374999214698,0.3997889613885479,0.86,0.001,22,44,62,89,110
155,0.5809439002671416,0.5689102564102564,0.40715641243542855,0.39748881885467746,0.86,0.001,22,43,63,89,110
156,0.5816562778272485,0.5705128205128205,0.4082898065879579,0.3998815782391044,0.87,0.001,22,43,62,89,110
157,0.5821905609973286,0.5705128205128205,0.4092215116940844,0.40018507492665156,0.88,0.001,22,43,62,89,110
158,0.5823686553873553,0.5721153846153846,0.40957771758792005,0.4022709742228281,0.88,0.001,22,43,62,89,110
159,0.5823686553873553,0.5737179487179487,0.4098444102157457,0.4047808593497859,0.89,0.001,22,43,62,89,110
160,0.582546749777382,0.5769230769230769,0.4100314766484203,0.40916508559316245,0.89,0.001,22,43,62,89,110
161,0.5823686553873553,0.5769230769230769,0.4095620176074365,0.4092244133879869,0.9,0.001,22,43,62,89,110
162,0.5823686553873553,0.5769230769230769,0.4094998448987891,0.4092244133879869,0.9,0.001,22,43,62,89,110
163,0.5827248441674088,0.5769230769230769,0.4099286336287813,0.40937268076166033,0.91,0.001,22,43,62,89,110
164,0.5830810329474622,0.5769230769230769,0.41054695836308497,0.40937268076166033,0.91,0.001,22,43,62,89,110
165,0.5827248441674088,0.5817307692307693,0.4102634227492956,0.41643794385959887,0.92,0.001,22,43,62,89,110
