epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
92,0.5419764560099133,0.5557103064066853,0.44916099911428986,0.4706923645775559,0.79,0.01,12,30,37,52,62,78,85,100,107,130,140,149,153,172,183
93,0.5357806691449815,0.5459610027855153,0.4374808173937995,0.456120009201449,0.8,0.01,12,30,37,52,62,78,85,100,107,130,139,149,153,172,183
94,0.542905824039653,0.5668523676880223,0.454754495287213,0.4872347167939597,0.81,0.01,12,30,37,52,62,78,85,100,108,129,139,149,153,172,183
95,0.5280359355638166,0.5264623955431755,0.42578245821010596,0.43056015600580366,0.82,0.01,12,30,37,52,62,78,85,100,108,129,139,149,153,172,183
96,0.5371747211895911,0.5710306406685237,0.45598436075399806,0.49758954576228054,0.83,0.01,12,30,37,52,62,78,85,100,108,129,140,149,153,172,183
97,0.5314436183395291,0.5278551532033426,0.43008299944888817,0.4325539757030654,0.83,0.01,12,30,37,52,62,78,85,100,108,129,140,149,153,172,183
98,0.5456939281288724,0.5654596100278552,0.46066365767686746,0.4872567218360392,0.84,0.01,12,30,37,52,62,78,85,100,108,130,140,149,153,172,183
99,0.551270136307311,0.5710306406685237,0.4609628450045884,0.48978504174809023,0.85,0.009000000000000001,12,30,37,52,62,78,85,100,108,130,140,149,153,172,183
100,0.5404275092936803,0.5473537604456824,0.4431038362028651,0.45764720921314095,0.86,0.009000000000000001,12,30,37,52,62,78,85,100,107,130,140,149,153,172,183
101,0.546003717472119,0.5598885793871866,0.4612629509819829,0.48066288225599696,0.87,0.009000000000000001,12,30,37,52,62,78,85,100,108,130,140,149,153,172,183
102,0.5495662949194547,0.5612813370473537,0.457544750493327,0.4771663372516385,0.88,0.009000000000000001,12,30,38,52,62,78,85,101,107,130,140,149,153,172,183
103,0.5500309789343246,0.5668523676880223,0.4578109597542874,0.48368255788680226,0.88,0.009000000000000001,12,30,38,52,62,78,85,100,107,130,140,149,153,172,183
104,0.5545229244114003,0.5724233983286908,0.4696357272159053,0.49448447626604775,0.89,0.009000000000000001,12,30,38,52,62,78,85,101,108,130,139,149,153,172,183
105,0.5500309789343246,0.5626740947075209,0.45612125742038856,0.47705389927143094,0.9,0.009000000000000001,12,30,38,52,62,78,85,101,108,130,139,149,153,172,183
106,0.5515799256505576,0.5710306406685237,0.46541255755859456,0.4926481890616433,0.91,0.009000000000000001,11,30,38,52,62,78,85,101,108,130,139,149,153,172,183
107,0.5551425030978935,0.5724233983286908,0.4696035647055159,0.4942548251209148,0.92,0.009000000000000001,11,30,38,52,62,78,85,101,108,130,140,149,153,172,183
108,0.550185873605948,0.5626740947075209,0.45651683692056055,0.4773993750637453,0.93,0.009000000000000001,11,30,38,52,62,78,85,101,108,130,140,149,153,172,183
109,0.5498760842627014,0.5724233983286908,0.46583728025595894,0.49530741631997954,0.93,0.009000000000000001,11,30,38,52,62,78,85,101,108,130,140,149,153,172,183
110,0.5546778190830235,0.5696378830083565,0.46671254530508366,0.48933966454986755,0.94,0.009000000000000001,11,30,38,52,62,78,85,101,108,130,140,149,153,172,183
111,0.5599442379182156,0.5738161559888579,0.47190217500684606,0.4933821562641234,0.95,0.009000000000000001,11,30,38,52,62,78,85,101,108,130,140,149,153,172,183
112,0.5639714993804213,0.5793871866295265,0.48178777577190957,0.5031062163283171,0.96,0.009000000000000001,11,30,38,52,62,78,85,101,108,130,140,149,153,172,183
113,0.5602540272614622,0.5696378830083565,0.470985162051091,0.48700648577407313,0.97,0.009000000000000001,11,30,38,52,62,78,85,101,107,130,139,149,153,172,183
114,0.5573110285006195,0.575208913649025,0.47387607856663083,0.49879499321396925,0.98,0.009000000000000001,11,30,38,52,62,78,85,101,107,130,139,149,153,172,183
115,0.565365551425031,0.575208913649025,0.48113640796623236,0.4967829403924813,0.98,0.009000000000000001,11,30,38,52,62,78,85,101,107,129,139,149,153,172,183
116,0.5619578686493185,0.5779944289693594,0.47528678204403696,0.49919315296484634,0.99,0.009000000000000001,11,30,38,52,62,78,85,102,107,129,139,149,153,172,183
117,0.5645910780669146,0.5724233983286908,0.484892184184304,0.49789294809590845,1.0,0.009000000000000001,11,30,38,52,62,78,85,102,108,129,139,149,153,172,183
118,0.5413568773234201,0.5584958217270195,0.4533695713529088,0.4766246398440034,1.01,0.009000000000000001,11,30,38,52,62,78,85,102,108,129,140,149,153,172,183
