37,0.47227385377943,0.4554317548746518,0.3592952513185943,0.34528315527538944,0.35,0.01,10,16,24,30,38,48,52,63,71,79,84,89,92,108,116,135,140,149,154,153,163,172,181,187
38,0.48218711276332094,0.4805013927576602,0.3774717929269533,0.3797012159814708,0.36,0.01,10,16,24,30,38,48,52,63,71,79,84,89,92,108,116,135,139,149,154,153,163,172,181,187
39,0.468091697645601,0.45264623955431754,0.3444676928950605,0.3355342942521482,0.37,0.01,10,16,24,30,38,48,52,63,71,79,84,89,92,108,116,135,139,149,154,153,163,172,181,187
40,0.480638166047088,0.4637883008356546,0.3673690107500668,0.35491173004445586,0.37,0.01,10,16,24,30,38,48,52,63,71,79,85,89,92,108,116,135,139,149,154,153,163,172,181,187
41,0.4876084262701363,0.4763231197771588,0.38174693298660634,0.3735092975278531,0.38,0.01,10,16,24,30,38,48,52,63,71,79,85,88,91,108,116,135,139,149,154,153,164,172,181,187
42,0.47072490706319703,0.45264623955431754,0.34830065100357754,0.3362048685931516,0.39,0.01,10,16,24,30,38,47,52,63,71,79,85,88,91,108,116,135,139,149,154,153,164,172,181,186
43,0.483271375464684,0.47075208913649025,0.3710923147036862,0.3633533850727324,0.4,0.01,10,16,24,30,38,47,52,63,71,79,85,88,91,108,107,116,134,139,149,154,153,164,171,181,186
44,0.48900247831474597,0.49025069637883006,0.38699294762578584,0.39225857479515536,0.41,0.01,10,16,24,30,38,48,52,63,71,79,85,89,92,108,107,116,134,139,149,154,153,164,171,181,186
45,0.4798636926889715,0.46518105849582175,0.36122985668070096,0.35278873239436614,0.42,0.01,10,16,24,30,38,47,52,63,71,79,85,89,92,107,116,134,140,148,153,164,171,181,186
46,0.4919454770755886,0.47214484679665736,0.3824134437582495,0.3651028445572645,0.42,0.01,10,16,24,30,38,47,52,63,71,79,84,89,92,107,117,134,140,148,153,164,171,181,186
47,0.4905514250309789,0.49025069637883006,0.3875461547968756,0.3919646823633941,0.43,0.01,10,16,24,30,38,48,52,63,71,79,84,89,92,107,108,117,134,140,148,153,164,171,181,186
48,0.4809479553903346,0.46657381615598886,0.3631463514980301,0.3546317330980231,0.44,0.01,10,16,24,30,38,48,52,63,71,79,84,89,92,108,117,134,140,148,153,164,171,181,186
49,0.49674721189591076,0.49025069637883006,0.39057564716863413,0.3882718822672221,0.45,0.01,10,16,24,30,38,48,52,63,71,79,84,89,92,108,117,134,140,149,153,154,164,171,181,186
50,0.4930297397769517,0.4958217270194986,0.3912493174040048,0.39889499695881325,0.46,0.01,10,16,24,30,38,48,52,63,71,78,84,89,92,108,117,134,140,149,153,154,164,171,181,186
51,0.48590458488228006,0.47214484679665736,0.3700873677280465,0.3622040969390148,0.47,0.01,10,16,24,30,38,48,52,63,71,78,85,89,92,108,117,134,140,149,153,154,164,171,181,185
52,0.4930297397769517,0.49442896935933145,0.3896990745821918,0.39604304543685,0.48,0.01,10,16,24,31,38,48,52,63,71,78,85,89,92,108,117,134,140,149,153,154,164,171,181,185
53,0.49845105328376704,0.48746518105849584,0.3940750242781258,0.3866680903711922,0.48,0.01,10,16,24,31,38,48,52,63,71,78,85,89,92,108,118,134,140,149,153,154,164,171,181,185
54,0.4947335811648079,0.4777158774373259,0.38287315791370735,0.3699484726661768,0.49,0.01,10,16,24,30,38,48,52,63,71,78,85,88,92,108,118,134,140,149,153,154,164,171,181,185
55,0.4888475836431227,0.5,0.38962316404272834,0.40598663849027394,0.5,0.01,10,16,24,30,38,48,52,63,71,78,84,88,92,108,118,133,140,149,153,154,164,171,181,185
56,0.5046468401486989,0.49025069637883006,0.39634649999443017,0.38630902199626815,0.51,0.01,10,16,24,30,38,48,52,63,71,78,84,89,92,108,118,134,140,149,153,154,164,171,180,185
57,0.5061957868649318,0.4972144846796657,0.4029692562813717,0.3980902221417192,0.52,0.01,10,16,24,30,38,48,52,63,71,78,84,89,92,108,118,133,140,149,153,154,164,171,180,185
58,0.5029429987608426,0.49442896935933145,0.40267339019496295,0.39700857172602866,0.53,0.01,10,16,24,30,37,48,52,63,71,78,85,89,92,108,118,134,140,149,153,154,164,171,180,185
59,0.508364312267658,0.49442896935933145,0.40107296484189847,0.3912468702118913,0.54,0.01,10,16,24,30,38,48,52,63,71,78,85,89,92,108,118,134,140,149,153,154,164,171,180,185
60,0.4972118959107807,0.5125348189415042,0.4021974109796951,0.42175516750231834,0.55,0.01,10,16,24,30,37,48,52,63,71,78,84,89,92,107,108,118,134,140,149,153,154,164,171,180,185
61,0.5103779429987608,0.5013927576601671,0.40398355288655396,0.4000774864515406,0.55,0.01,10,16,24,30,38,48,52,63,70,78,84,89,91,107,108,118,134,140,149,153,154,164,172,180,185
62,0.5051115241635687,0.5069637883008357,0.40594834434854576,0.41258392170004277,0.56,0.01,10,16,24,30,37,49,52,63,71,78,84,89,91,107,118,134,140,149,153,154,164,172,180,185
63,0.510997521685254,0.5069637883008357,0.409009351739988,0.41024641514687454,0.57,0.01,10,16,24,30,37,49,52,63,71,78,84,89,91,107,118,134,139,149,153,154,164,172,180,185
64,0.5128562577447335,0.5055710306406686,0.40913581676800026,0.4069925970043692,0.58,0.01,10,16,24,30,37,49,52,63,71,78,84,89,91,108,107,118,134,139,149,153,154,163,172,180,185
65,0.5032527881040892,0.5139275766016713,0.40700336842288576,0.4227112404306248,0.59,0.01,10,16,24,30,37,49,52,63,71,78,85,89,92,108,118,134,140,149,153,154,163,172,180,184
66,0.5134758364312267,0.5027855153203342,0.408289976281464,0.40179792482508514,0.6,0.01,10,16,24,30,38,49,52,63,71,78,85,89,92,108,118,134,140,149,153,154,163,172,180,184
67,0.5003097893432465,0.5111420612813371,0.40620270315463836,0.42051506093354796,0.6,0.01,10,16,24,30,37,49,52,63,71,78,85,88,92,108,118,134,140,149,153,154,163,172,180,184
68,0.5131660470879802,0.5,0.4083077223200947,0.39875394494685257,0.61,0.01,10,16,24,30,38,49,52,63,71,78,85,88,92,108,118,134,140,149,153,154,163,172,180,184
69,0.5069702602230484,0.5111420612813371,0.4098709785360144,0.41815503675519927,0.62,0.01,10,16,24,30,37,49,52,63,71,78,85,88,92,108,118,134,140,149,153,154,163,172,179,184
70,0.5116171003717472,0.5041782729805014,0.41098243237108,0.4074946337754577,0.63,0.01,10,16,24,30,37,49,52,63,71,78,85,89,92,108,118,134,140,149,153,154,163,172,179,184
71,0.5116171003717472,0.5097493036211699,0.4087833615637946,0.41257382455960934,0.64,0.01,10,16,24,30,37,49,52,63,71,78,85,89,92,108,118,134,139,149,153,154,163,172,179,184
72,0.5051115241635687,0.5181058495821727,0.4093829025264978,0.4274150611587315,0.65,0.01,10,16,24,30,37,49,52,63,71,78,84,89,92,108,118,134,139,149,153,154,163,172,179,184
73,0.5148698884758365,0.5013927576601671,0.4098965192455082,0.3999990663062607,0.66,0.01,10,16,24,30,38,49,52,63,71,78,84,89,92,108,107,118,134,139,149,153,154,163,172,179,184
74,0.5018587360594795,0.5111420612813371,0.4092173717129325,0.4213718935400328,0.67,0.01,10,16,24,30,37,49,52,63,71,79,84,89,92,108,107,118,134,139,149,153,154,163,172,179,184
75,0.512546468401487,0.5041782729805014,0.4084844972785584,0.4046587026344658,0.67,0.01,10,16,24,30,38,49,52,63,71,78,84,89,92,108,107,118,134,140,149,153,154,163,172,179,184
76,0.5080545229244114,0.5167130919220055,0.40963787534594875,0.4242088088337933,0.68,0.01,10,16,24,30,37,49,52,63,71,78,84,89,92,108,118,134,140,149,153,154,163,172,179,184
77,0.5097583643122676,0.5153203342618384,0.411574303760593,0.4224039686263995,0.69,0.01,10,16,24,30,37,49,52,63,71,78,84,89,92,108,118,134,140,149,153,154,163,172,179,184
78,0.5153345724907064,0.5069637883008357,0.4121123260843823,0.40817010813378407,0.7,0.01,10,16,24,30,38,49,52,63,71,78,84,89,92,108,118,134,140,149,153,154,163,172,179,184
79,0.5054213135068154,0.5167130919220055,0.411167912885563,0.42676695050766966,0.71,0.01,10,16,24,30,37,48,52,63,71,78,84,89,92,108,118,134,140,149,153,154,163,172,179,184
80,0.5144052044609665,0.5069637883008357,0.41140365076097796,0.40836297275655953,0.72,0.01,10,16,24,30,38,48,52,63,71,78,84,89,92,107,108,118,134,140,149,153,154,164,172,179,184
81,0.5114622057001239,0.5167130919220055,0.41388238917585496,0.423866618876389,0.73,0.01,10,16,24,30,38,48,52,63,71,78,84,89,92,107,108,118,133,139,149,153,154,164,172,179,184
82,0.5114622057001239,0.5153203342618384,0.4145280777881838,0.42281491611246,0.74,0.01,10,16,24,30,37,48,52,63,71,78,85,89,92,107,108,118,133,139,149,153,154,164,172,179,184
83,0.5142503097893433,0.5097493036211699,0.4113797708371788,0.41200803110074014,0.74,0.01,10,16,24,30,38,48,52,63,71,78,85,89,91,108,118,133,139,149,153,154,164,172,179,184
84,0.5108426270136307,0.5236768802228412,0.4169072309539278,0.4343552544590513,0.75,0.01,10,16,24,30,37,48,52,63,71,78,85,89,92,108,118,133,139,149,153,154,164,172,179,184
85,0.5128562577447335,0.5125348189415042,0.4103811336087505,0.415627601538483,0.76,0.01,10,16,24,30,38,48,52,63,71,78,85,89,92,108,118,133,140,149,153,154,164,172,179,184
86,0.5127013630731103,0.5194986072423399,0.41572371482855763,0.4273938340410678,0.77,0.01,10,16,24,30,38,48,52,63,71,78,85,89,92,108,118,133,140,149,153,154,164,172,179,184
87,0.5148698884758365,0.5181058495821727,0.41722707110762325,0.425453872661255,0.78,0.01,10,16,24,30,38,48,52,63,71,78,85,89,92,108,118,133,140,149,153,154,164,172,179,184
88,0.5150247831474597,0.5167130919220055,0.4146051578378497,0.42170425320545557,0.79,0.01,10,16,24,30,38,48,52,63,71,78,85,89,92,108,118,133,140,149,153,154,164,172,179,184
89,0.5179677819083024,0.5278551532033426,0.4244556734055044,0.43928217650717594,0.79,0.01,10,16,24,30,37,48,52,63,71,78,84,89,92,108,118,133,140,149,153,154,164,172,179,184
90,0.5212205700123915,0.520891364902507,0.42108200695363174,0.42601780564379876,0.8,0.01,10,16,24,30,38,48,52,63,71,78,84,89,92,108,107,118,133,140,149,153,154,164,172,179,184
91,0.5221499380421314,0.5348189415041783,0.4295135063882396,0.447594345381378,0.81,0.01,10,16,24,30,37,48,52,63,71,78,84,89,92,108,107,118,133,139,149,153,154,164,172,179,184
92,0.5247831474597274,0.5292479108635098,0.4270398935064673,0.4376913006707833,0.82,0.01,10,16,24,30,38,48,52,63,71,78,85,89,92,108,107,118,133,139,149,153,154,164,172,179,184
93,0.5249380421313506,0.532033426183844,0.43083400155774654,0.44268952755850954,0.83,0.01,10,16,24,30,37,48,52,63,71,78,85,89,92,108,107,118,133,139,149,153,154,164,172,179,184
94,0.5271065675340768,0.5278551532033426,0.43234835139785543,0.43752513091183043,0.84,0.01,10,16,24,30,37,48,52,63,71,78,85,89,92,108,118,133,140,149,153,154,164,172,179,184
95,0.5286555142503098,0.5306406685236769,0.43294316681727096,0.44026278959482745,0.85,0.01,10,16,24,30,37,48,52,63,71,78,85,89,92,108,119,133,140,149,153,154,164,172,179,184
96,0.5272614622057001,0.532033426183844,0.43517073320634614,0.4438163391399773,0.85,0.01,10,16,24,30,37,48,52,63,71,78,85,89,92,108,119,133,140,149,153,154,164,172,179,184
97,0.5308240396530359,0.5376044568245125,0.4336987901100934,0.4468566973277518,0.86,0.01,10,16,24,30,38,48,52,63,71,78,85,89,91,108,119,134,140,149,153,154,164,172,178,184
98,0.5246282527881041,0.5348189415041783,0.4367440869321776,0.4506591531228167,0.87,0.01,10,16,24,30,37,48,52,63,71,78,85,89,92,108,119,133,140,149,153,154,164,172,178,184
99,0.5325278810408922,0.5250696378830083,0.43403002513607214,0.43069933126854354,0.88,0.009000000000000001,10,16,24,30,38,49,52,63,71,78,85,89,92,108,119,134,140,149,153,154,164,172,178,184
100,0.5288104089219331,0.541782729805014,0.44102718819981346,0.4582188481915551,0.89,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,84,89,92,108,119,133,140,149,153,154,164,172,178,184
101,0.5315985130111525,0.5306406685236769,0.4382882990194199,0.4411961007558768,0.9,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,84,89,92,108,119,134,140,149,153,154,164,172,178,184
102,0.5384138785625775,0.5362116991643454,0.4440506079793438,0.44609546579188797,0.91,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,84,89,92,107,108,119,134,140,149,153,154,164,172,178,184
103,0.5286555142503098,0.5473537604456824,0.44302933447765125,0.4666992718679581,0.91,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,84,89,92,108,119,133,140,149,153,154,164,172,178,184
104,0.5343866171003717,0.5348189415041783,0.43828403815795647,0.4436652229287543,0.92,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,84,89,92,108,119,134,140,149,153,154,164,172,178,184
105,0.5458488228004956,0.5515320334261838,0.45737802796604143,0.46711719706171817,0.93,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,84,89,92,108,120,134,140,149,153,154,164,172,178,184
106,0.5326827757125155,0.5473537604456824,0.44516940295046703,0.4646081555768168,0.94,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,85,89,92,108,120,134,140,149,153,154,164,172,178,184
107,0.5356257744733581,0.5362116991643454,0.4395911706607811,0.44535663002201464,0.95,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,85,89,92,108,120,134,140,149,153,154,164,172,178,184
108,0.5500309789343246,0.5571030640668524,0.4654563018960508,0.4754584948183136,0.96,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,85,89,92,108,120,134,140,149,153,154,163,172,178,184
109,0.5340768277571252,0.5403899721448467,0.444999686627768,0.4552164166235557,0.97,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,85,89,92,108,120,134,140,149,153,154,163,172,178,184
110,0.5421313506815365,0.5362116991643454,0.44802982661992974,0.4460261632352328,0.97,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,85,89,92,108,120,134,140,149,153,154,163,172,178,184
111,0.5452292441140025,0.5515320334261838,0.4617492226808102,0.4706275644783119,0.98,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,85,89,92,108,120,134,140,149,153,154,163,172,178,184
112,0.5393432465923172,0.5431754874651811,0.4499017537630877,0.45787370398335203,0.99,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,85,89,92,108,120,134,140,148,153,154,163,172,178,184
113,0.5535935563816605,0.541782729805014,0.46467851134516824,0.4546138785763101,1.0,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,85,89,91,108,120,134,140,148,153,154,163,172,178,184
114,0.5452292441140025,0.5626740947075209,0.4628512478266589,0.48479537108343984,1.01,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,85,89,91,108,121,134,140,149,153,154,163,172,178,184
115,0.5477075588599752,0.5557103064066853,0.460421918899796,0.47358284148785557,1.02,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,85,89,91,108,121,134,140,149,153,154,163,172,178,184
116,0.5576208178438662,0.552924791086351,0.4708516550263615,0.4687843565684573,1.03,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,85,89,91,108,121,134,140,149,153,154,163,172,178,184
117,0.5492565055762082,0.5598885793871866,0.4659048291380794,0.48037742762916824,1.04,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,85,89,92,108,107,121,134,140,149,153,154,163,172,178,184
118,0.5568463444857497,0.5598885793871866,0.47157482045014487,0.4789023527574391,1.04,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,85,89,92,108,107,121,134,140,149,153,154,163,172,178,184
119,0.5495662949194547,0.564066852367688,0.4628536526287401,0.48302308676168837,1.05,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,85,89,92,108,121,134,140,149,153,154,163,172,178,184
120,0.5551425030978935,0.5654596100278552,0.4719314398358997,0.48599080815288853,1.06,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,85,89,92,108,107,121,134,139,149,153,154,163,172,178,184
121,0.5700123915737298,0.5766016713091922,0.48882215172007093,0.500077872344324,1.07,0.009000000000000001,10,16,24,30,37,49,52,63,71,78,85,89,92,108,107,121,134,139,149,153,154,163,172,178,184
122,0.5495662949194547,0.5584958217270195,0.46489463846833357,0.47852883022620163,1.08,0.009000000000000001,10,17,24,30,37,49,52,63,71,78,85,89,92,108,121,134,139,149,153,154,164,172,178,184
123,0.5766728624535316,0.5877437325905293,0.4981157560793801,0.513910617080646,1.09,0.009000000000000001,10,17,24,30,37,49,52,63,71,78,85,89,92,108,121,134,140,149,153,154,164,172,178,184
124,0.5546778190830235,0.5682451253481894,0.4696421946395144,0.4892587850334329,1.1,0.009000000000000001,10,17,24,30,37,49,52,63,71,78,85,89,92,108,122,134,140,149,153,154,164,172,178,184
125,0.574814126394052,0.5891364902506964,0.4980932510006716,0.5173972580891382,1.1,0.009000000000000001,10,17,25,30,37,49,52,63,71,78,85,89,92,108,122,134,140,149,153,154,164,172,178,184
126,0.5591697645600991,0.5612813370473537,0.47384670683127916,0.4799996321348594,1.11,0.009000000000000001,10,17,25,30,37,49,52,63,71,78,85,89,92,108,122,134,140,149,153,154,164,172,178,184
127,0.580545229244114,0.596100278551532,0.5065523435721624,0.5269544197796756,1.12,0.009000000000000001,10,17,25,30,37,49,52,63,71,78,85,89,91,108,122,134,140,149,153,154,164,172,178,184
128,0.5678438661710037,0.575208913649025,0.48629673736894186,0.4977961647303799,1.13,0.009000000000000001,10,17,25,30,37,49,52,63,71,78,85,89,91,108,122,134,140,149,153,154,164,172,178,184
129,0.5710966542750929,0.5766016713091922,0.49034133489003995,0.4996010967546699,1.14,0.009000000000000001,10,17,25,30,37,49,52,63,71,78,85,89,91,108,122,134,140,149,153,154,164,172,178,184
130,0.5769826517967782,0.5933147632311978,0.5015695412014001,0.522933358211842,1.15,0.009000000000000001,10,17,25,30,37,49,52,63,71,78,85,89,92,108,123,134,139,149,153,154,164,172,178,184
131,0.5766728624535316,0.5863509749303621,0.49662668446459823,0.5113329346010271,1.16,0.009000000000000001,10,17,25,30,37,49,52,63,71,78,85,89,92,108,123,134,139,149,153,154,164,172,178,184
132,0.5791511771995044,0.5919220055710307,0.5040119691194366,0.5213932272411871,1.17,0.009000000000000001,10,17,25,30,37,49,52,63,71,78,85,89,92,108,123,134,139,149,153,154,164,172,178,184
133,0.5765179677819083,0.5835654596100278,0.4974755202045503,0.5084308768844681,1.18,0.009000000000000001,10,17,25,30,37,49,52,63,71,78,85,89,92,107,108,123,134,140,149,153,154,164,172,178,184
134,0.5836431226765799,0.6002785515320335,0.5091347928104233,0.5312569663386516,1.19,0.009000000000000001,10,17,25,30,37,49,52,63,71,78,85,89,92,107,108,123,133,140,149,153,154,164,172,178,184
135,0.5741945477075588,0.584958217270195,0.4947225218560616,0.5106094395077824,1.2,0.009000000000000001,10,17,25,30,37,49,52,63,71,78,85,89,92,107,108,124,133,140,149,153,154,164,172,178,184
136,0.594640644361834,0.6086350974930362,0.5235076730587883,0.5419629316842381,1.21,0.009000000000000001,10,17,25,30,37,49,52,63,71,78,85,89,92,107,108,124,133,140,149,153,154,164,172,178,184
137,0.5568463444857497,0.5668523676880223,0.4729768700486765,0.48851730535767457,1.21,0.009000000000000001,10,17,25,30,37,49,52,63,71,78,85,89,92,107,124,133,140,149,153,154,164,172,178,184
138,0.5681536555142503,0.5835654596100278,0.5009339399578379,0.5189964173767312,1.22,0.009000000000000001,10,17,25,30,37,49,52,63,71,78,85,89,92,107,108,124,133,140,149,153,154,164,172,178,184
139,0.5356257744733581,0.5445682451253482,0.4539527855108646,0.4670507398857313,1.23,0.009000000000000001,10,17,25,30,37,49,52,63,71,78,85,89,92,107,108,124,133,139,149,153,154,164,172,178,184
140,0.5642812887236679,0.5668523676880223,0.4757031950047834,0.4839880019781022,1.24,0.009000000000000001,10,17,25,30,37,49,52,63,71,78,85,89,92,107,108,124,133,139,149,153,154,164,172,178,184
141,0.4795539033457249,0.4763231197771588,0.41907756936370755,0.4168011423411512,1.25,0.009000000000000001,10,17,25,30,37,49,52,63,71,78,85,89,91,108,124,133,139,149,153,154,164,172,178,184
142,0.5504956629491945,0.5557103064066853,0.4686869102799417,0.47740117506131996,1.26,0.009000000000000001,10,17,25,30,37,49,52,63,71,78,85,89,92,108,125,133,139,149,153,154,164,172,178,184
143,0.5226146220570013,0.5055710306406686,0.422860537694148,0.4084926064476603,1.27,0.009000000000000001,10,17,25,30,37,49,52,63,71,78,85,89,92,108,125,133,140,149,153,154,164,172,178,184
