epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
83,0.5502136752136753,0.5560897435897436,0.35898099330631594,0.36684786590279717,0.46,0.001,9,17,24,35,39,48,60,63,74,83,90,95,106,112,121
84,0.5523504273504274,0.5592948717948718,0.3620158360210055,0.37165873306481145,0.46,0.001,9,17,24,35,39,48,60,63,74,83,90,95,106,112,121
85,0.5518162393162394,0.5592948717948718,0.3614838989097662,0.3715666886398594,0.47,0.001,9,17,24,35,39,48,61,63,74,83,90,95,107,112,121
86,0.55252849002849,0.5592948717948718,0.36283174334066326,0.37178295027713304,0.48,0.001,9,17,24,35,39,48,61,62,74,83,90,95,107,112,121
87,0.5537749287749287,0.5592948717948718,0.36490237724061314,0.37178295027713304,0.48,0.001,9,17,24,35,39,48,61,62,74,83,90,95,107,112,121
88,0.5550213675213675,0.5608974358974359,0.3667599490281426,0.3741773486284874,0.49,0.001,9,17,24,35,39,48,61,62,74,83,90,95,107,112,121
89,0.5568019943019943,0.5592948717948718,0.36945114168203086,0.37179674915800265,0.49,0.001,9,17,24,35,39,48,61,62,74,83,90,95,107,112,121
90,0.5578703703703703,0.5576923076923077,0.37113607650851943,0.369780002634699,0.5,0.001,9,17,24,35,39,48,61,63,74,83,90,95,107,112,121
91,0.5576923076923077,0.5625,0.3710025142505913,0.37722729565910396,0.5,0.001,9,17,24,35,39,48,61,63,74,83,90,95,107,112,121
92,0.5584045584045584,0.5608974358974359,0.372144766331328,0.3752110329101712,0.51,0.001,9,17,24,35,39,48,61,63,74,83,90,95,107,112,121
93,0.5607193732193733,0.5641025641025641,0.3755525397877775,0.37967632998552703,0.51,0.001,9,17,24,35,39,48,61,63,74,83,90,94,107,112,121
94,0.5623219373219374,0.5657051282051282,0.37777071793793215,0.3820653365490023,0.52,0.001,9,17,24,35,39,48,61,63,74,83,90,94,107,112,121
95,0.5633903133903134,0.5657051282051282,0.37907648076820755,0.3820653365490023,0.53,0.001,9,17,24,35,39,48,61,63,74,83,90,94,107,112,121
96,0.5646367521367521,0.5673076923076923,0.38076170470109194,0.3836608671476024,0.53,0.001,9,17,24,35,39,48,61,63,74,83,90,94,107,112,121
97,0.5649928774928775,0.5689102564102564,0.38122626981118135,0.38583126605343465,0.54,0.001,9,17,24,35,39,48,61,63,74,83,90,94,107,112,121
98,0.5655270655270656,0.5689102564102564,0.3820568001016629,0.3858267716535433,0.54,0.001,9,17,24,35,39,48,61,63,74,83,90,94,107,112,121
99,0.5651709401709402,0.5689102564102564,0.381683570918009,0.3864867433241471,0.55,0.001,9,17,23,35,39,48,61,62,74,83,90,94,107,112,121
100,0.5660612535612536,0.5705128205128205,0.383416654562833,0.389481523667667,0.55,0.001,9,18,23,35,39,48,61,62,74,83,90,94,107,112,121
101,0.5664173789173789,0.5705128205128205,0.3841453556317651,0.389481523667667,0.56,0.001,9,18,23,35,39,48,61,62,74,83,90,94,107,112,121
102,0.5681980056980057,0.5721153846153846,0.3867576062491034,0.39179510393014383,0.56,0.001,9,18,23,35,39,48,61,62,74,83,90,94,107,112,121
103,0.5703347578347578,0.5753205128205128,0.38971619662733215,0.39640823477879983,0.57,0.001,9,18,23,35,39,48,62,74,83,90,94,107,112,121
104,0.5712250712250713,0.5785256410256411,0.39079942493365083,0.40098113648309286,0.57,0.001,9,18,23,35,39,48,62,74,83,90,94,107,112,121
105,0.57247150997151,0.5801282051282052,0.3925019949554839,0.4032761993751278,0.58,0.001,9,18,23,35,39,48,62,74,83,90,94,107,112,121
106,0.5728276353276354,0.5817307692307693,0.3930914291135371,0.4054626296845225,0.59,0.001,9,18,23,35,39,48,62,74,83,90,94,107,112,121
107,0.573539886039886,0.5817307692307693,0.39426260995898654,0.4054626296845225,0.59,0.001,9,18,23,35,39,48,62,74,83,90,94,107,112,121
108,0.5740740740740741,0.5833333333333334,0.3953045810381778,0.4079523559292346,0.6,0.001,9,18,23,35,39,48,62,74,83,90,94,107,112,121
109,0.5747863247863247,0.5817307692307693,0.3965933166461856,0.4063078695265452,0.6,0.001,9,18,23,35,39,48,62,74,83,90,94,107,112,121
110,0.5744301994301995,0.5833333333333334,0.3962554473005022,0.40889283996677206,0.61,0.001,9,18,23,35,39,48,62,74,83,90,94,107,112,121
111,0.5756766381766382,0.5833333333333334,0.3982139768894577,0.4095167383661258,0.61,0.001,9,18,23,35,39,48,62,74,84,90,94,107,112,121
112,0.5771011396011396,0.5849358974358975,0.40040512438289566,0.4121387157084555,0.62,0.001,9,18,23,35,39,48,62,74,84,91,94,107,112,121
113,0.5772792022792023,0.5801282051282052,0.4007389953686711,0.40560193129926403,0.62,0.001,9,18,23,35,39,48,62,74,84,91,94,107,111,121
114,0.5771011396011396,0.5833333333333334,0.4004950298350135,0.41061503251353215,0.63,0.001,9,18,23,35,39,48,62,74,84,91,94,107,111,121
115,0.5781695156695157,0.5849358974358975,0.4022389647001059,0.41267280101173087,0.63,0.001,9,18,23,35,39,48,62,74,84,91,93,107,111,121
116,0.5776353276353277,0.5849358974358975,0.40159205871725,0.41267280101173087,0.64,0.001,9,18,23,35,39,48,62,74,84,91,93,107,111,121
117,0.5795940170940171,0.5833333333333334,0.404622822931883,0.4102979768975219,0.65,0.001,9,18,23,35,39,48,62,74,84,91,93,107,111,121
118,0.5804843304843305,0.5817307692307693,0.4060289296181351,0.4083825548702077,0.65,0.001,9,18,23,35,39,48,62,74,84,91,93,107,111,121
119,0.5817307692307693,0.5833333333333334,0.4079546540825463,0.41077343250624676,0.66,0.001,9,18,23,35,39,48,62,74,84,91,93,107,111,121
120,0.5808404558404558,0.5833333333333334,0.40692835325437293,0.41108997720441975,0.66,0.001,9,18,23,35,39,48,62,74,84,91,93,107,111,121
121,0.5827991452991453,0.5817307692307693,0.4100167440739322,0.4089493739793141,0.67,0.001,9,18,23,35,39,48,62,74,84,91,93,107,111,121
122,0.5831552706552706,0.5801282051282052,0.4106191919541502,0.4068957511028559,0.67,0.001,9,18,23,35,39,48,62,74,84,91,93,107,111,121
123,0.583511396011396,0.5817307692307693,0.4112820768396539,0.4092838023111576,0.68,0.001,9,18,23,35,39,48,62,74,84,91,93,107,111,121
124,0.5842236467236467,0.5849358974358975,0.4124607589850532,0.41401440163595615,0.68,0.001,9,18,23,35,39,48,62,73,84,91,93,107,111,121
125,0.5851139601139601,0.5849358974358975,0.41381967265989816,0.414031398426453,0.69,0.001,9,18,23,35,39,48,62,73,84,91,93,107,111,121
126,0.5860042735042735,0.5865384615384616,0.4152167261308891,0.4163996229971725,0.69,0.001,9,18,23,35,39,48,62,73,84,91,93,107,111,121
127,0.5861823361823362,0.5865384615384616,0.4157583221505291,0.416606874959233,0.7,0.001,9,18,23,35,39,48,62,73,84,91,93,107,111,121
128,0.5865384615384616,0.5865384615384616,0.41647217009842474,0.416606874959233,0.71,0.001,9,18,23,35,39,48,62,73,84,91,93,107,111,121
129,0.5860042735042735,0.5817307692307693,0.41586123827825894,0.4104470588235294,0.71,0.001,9,18,23,35,39,48,62,73,84,91,93,107,111,121
130,0.5860042735042735,0.5833333333333334,0.4160405048889143,0.41282916166017636,0.72,0.001,9,18,23,35,39,48,62,73,84,91,93,107,111,121
131,0.5867165242165242,0.5817307692307693,0.41718581476211714,0.41071157200026054,0.72,0.001,9,18,23,35,39,48,62,73,84,91,93,107,111,121
132,0.5876068376068376,0.5865384615384616,0.4185281232933593,0.41780940808887346,0.73,0.001,9,18,23,35,39,48,62,73,84,91,93,107,111,121
133,0.5870726495726496,0.5881410256410257,0.41790612896140833,0.420409697425296,0.73,0.001,9,18,23,35,39,48,62,73,84,91,93,107,111,121
134,0.5874287749287749,0.5833333333333334,0.4186238257559274,0.4144397765169562,0.74,0.001,9,18,23,35,39,48,62,73,84,91,92,107,111,120
135,0.5879629629629629,0.5833333333333334,0.4193813519149068,0.41474395047833423,0.74,0.001,9,18,23,35,39,48,62,73,84,91,92,107,111,120
136,0.5886752136752137,0.5833333333333334,0.4205416453755749,0.41474395047833423,0.75,0.001,9,18,23,35,39,48,62,73,84,91,92,107,111,120
137,0.5899216524216524,0.5817307692307693,0.42222568084207435,0.4128276309622526,0.75,0.001,9,18,23,35,39,48,62,73,84,91,92,107,111,120
138,0.5906339031339032,0.5785256410256411,0.42325645554041147,0.40853720068620525,0.76,0.001,9,18,23,35,39,48,62,73,84,91,92,107,111,120
139,0.5908119658119658,0.5801282051282052,0.4236786768441292,0.4105991780229289,0.77,0.001,9,18,23,35,39,48,62,73,84,91,92,107,111,120
140,0.5913461538461539,0.5753205128205128,0.42454916159782097,0.40420257688870953,0.77,0.001,9,18,23,35,39,48,62,73,84,91,92,107,111,120
141,0.5917022792022792,0.5737179487179487,0.42522489115304796,0.40197152245345014,0.78,0.001,9,18,23,34,39,48,62,73,84,91,92,107,111,120
142,0.5924145299145299,0.5737179487179487,0.4262586914616473,0.40197152245345014,0.78,0.001,9,18,23,34,39,48,62,73,84,91,92,107,111,120
143,0.5920584045584045,0.5769230769230769,0.4258536876184995,0.4064465918671768,0.79,0.001,9,18,23,34,39,48,62,73,84,91,92,107,111,120
144,0.5925925925925926,0.5769230769230769,0.4266117592754395,0.4064465918671768,0.79,0.001,9,18,23,34,39,48,62,73,84,91,92,107,111,120
145,0.5931267806267806,0.5769230769230769,0.42736669698979923,0.4064465918671768,0.8,0.001,9,18,23,34,39,48,62,72,84,91,92,107,111,120
146,0.5936609686609686,0.5785256410256411,0.4281568916451648,0.40892064772661785,0.81,0.001,9,18,23,34,39,48,62,72,84,91,92,107,111,120
