epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
48,0.5176282051282052,0.5336538461538461,0.3038982354754143,0.3190914920184942,0.28,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
49,0.5242165242165242,0.5368589743589743,0.3141413571707834,0.3244299259381357,0.29,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
50,0.5265313390313391,0.5416666666666666,0.3177964738904159,0.3319307912882674,0.29,0.001,7,13,19,25,32,38,42,49,57,62,67,73,81,88,92,98,105,112,117,123
51,0.5270655270655271,0.5416666666666666,0.31863744811358896,0.3319307912882674,0.3,0.001,7,13,19,25,32,38,42,49,57,62,67,73,81,88,92,98,105,112,117,123
52,0.5235042735042735,0.5416666666666666,0.31321453723900594,0.3320583116567172,0.3,0.001,7,13,19,25,32,38,42,49,57,62,67,73,82,88,92,98,105,112,117,123
53,0.5190527065527065,0.5368589743589743,0.3066168769277796,0.3245589722461516,0.31,0.001,7,13,19,25,32,38,42,49,57,62,67,73,82,88,92,98,105,112,117,123
54,0.5162037037037037,0.5272435897435898,0.30270201352034987,0.30999583928390695,0.31,0.001,7,13,19,25,32,38,42,49,58,62,67,73,82,88,92,98,106,112,117,123
55,0.5135327635327636,0.5224358974358975,0.2989185975531602,0.3027723826592976,0.32,0.001,7,13,19,25,32,38,42,49,58,62,67,73,82,88,92,98,106,112,117,123
56,0.5097934472934473,0.5208333333333334,0.2939070719411686,0.30039596832253423,0.33,0.001,7,13,19,25,32,38,42,49,58,62,67,73,82,88,91,98,106,112,117,123
57,0.50997150997151,0.5208333333333334,0.2946055777034263,0.30100404615615173,0.33,0.001,7,13,19,25,32,38,42,48,58,62,67,73,82,88,91,98,106,112,117,123
58,0.5133547008547008,0.5224358974358975,0.3002677291095296,0.3036444524333798,0.34,0.001,7,13,19,25,32,38,42,48,58,62,67,73,82,88,91,98,106,111,117,123
59,0.5169159544159544,0.5256410256410257,0.3060553089505619,0.3091226009642899,0.34,0.001,7,13,19,25,32,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
60,0.5202991452991453,0.532051282051282,0.3116627533737365,0.31958116121708224,0.35,0.001,7,13,19,25,32,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
61,0.5265313390313391,0.5368589743589743,0.32131320410951325,0.32787691757234216,0.35,0.001,7,13,19,25,32,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
62,0.5311609686609686,0.5448717948717948,0.3285677012928597,0.34065786879085636,0.36,0.001,7,13,19,25,32,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
63,0.5363247863247863,0.5480769230769231,0.3366395971082985,0.3459678648286013,0.36,0.001,7,13,19,25,32,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
64,0.5416666666666666,0.5560897435897436,0.3447540810244686,0.3583726196221092,0.37,0.001,7,13,19,25,32,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
65,0.5445156695156695,0.5576923076923077,0.349024912299543,0.3610305193407882,0.38,0.001,7,13,19,25,33,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
66,0.5462962962962963,0.5592948717948718,0.3516059406832477,0.36349912277122687,0.38,0.001,7,13,19,25,33,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
67,0.5468304843304843,0.5592948717948718,0.3523654236745004,0.36349912277122687,0.39,0.001,7,13,19,25,33,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
68,0.5477207977207977,0.5592948717948718,0.35381821308310824,0.36334562615477084,0.39,0.001,7,13,19,25,33,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
69,0.5482549857549858,0.5608974358974359,0.3544898361019968,0.36538761329977953,0.4,0.001,7,13,19,25,33,38,42,48,58,62,67,73,82,88,91,97,106,111,117,123
70,0.5482549857549858,0.5608974358974359,0.3544745403588201,0.36550772073967686,0.4,0.001,7,13,19,24,33,38,42,48,58,63,67,73,82,88,91,97,106,111,117,123
71,0.5484330484330484,0.5625,0.35473816452777385,0.36779054016440593,0.41,0.001,7,13,19,24,33,38,42,48,58,63,66,73,82,88,91,97,106,111,117,123
72,0.5484330484330484,0.5641025641025641,0.3547681869581606,0.3703773773885174,0.41,0.001,7,13,19,24,33,38,42,48,58,63,66,73,82,88,91,97,106,111,117,123
73,0.5495014245014245,0.5673076923076923,0.3564037520466149,0.3754263175064504,0.42,0.001,7,13,19,24,33,38,42,48,58,63,66,74,82,88,91,97,106,111,117,123
74,0.5507478632478633,0.5657051282051282,0.3583978293826673,0.3728759503059521,0.43,0.001,7,13,19,24,33,38,42,48,58,63,66,74,82,88,91,97,106,111,117,123
75,0.5534188034188035,0.5673076923076923,0.3625038748964149,0.37495362607031035,0.43,0.001,7,14,19,24,33,38,42,48,58,63,66,74,82,88,91,97,106,111,117,123
76,0.5548433048433048,0.5705128205128205,0.3646802395825206,0.37988267489376226,0.44,0.001,7,14,19,24,33,38,42,48,58,63,66,74,82,88,91,97,106,111,117,123
77,0.5548433048433048,0.5705128205128205,0.36480032878369306,0.38018146237324313,0.44,0.001,7,14,19,24,33,38,42,48,59,63,66,74,82,88,91,97,106,111,117,123
78,0.5562678062678063,0.5721153846153846,0.3669820341876793,0.382791603997955,0.45,0.001,7,14,19,24,33,38,42,48,59,63,66,74,82,88,91,97,106,111,117,123
79,0.5560897435897436,0.5737179487179487,0.3667801989053706,0.38525127498583356,0.45,0.001,7,14,19,24,33,38,42,48,59,63,66,74,82,88,91,97,106,111,117,123
80,0.5560897435897436,0.5737179487179487,0.36691251260347413,0.3853992327858169,0.46,0.001,7,14,19,24,33,38,42,48,59,63,66,74,82,88,91,97,106,111,117,123
81,0.5564458689458689,0.5737179487179487,0.3674149698499788,0.38460625834198425,0.46,0.001,7,14,19,24,33,38,42,48,59,63,66,74,82,88,91,97,106,111,117,123
82,0.5568019943019943,0.5721153846153846,0.36794092942394474,0.3824255498965816,0.47,0.001,7,14,19,24,33,38,42,48,59,63,66,74,82,88,91,97,106,111,117,123
83,0.5573361823361823,0.5721153846153846,0.3685205215578782,0.38269098238567734,0.48,0.001,7,14,18,24,33,38,42,48,59,63,66,74,82,88,91,97,106,111,117,123
84,0.5575142450142451,0.5721153846153846,0.36868701604895227,0.382956186807896,0.48,0.001,7,14,18,24,33,38,42,48,59,63,66,74,82,88,91,97,106,111,117,123
85,0.5589387464387464,0.5753205128205128,0.37070378342285903,0.3875782378430429,0.49,0.001,7,14,18,24,33,38,42,48,59,63,66,74,82,88,91,97,106,111,117,123
86,0.5592948717948718,0.5753205128205128,0.3711165043821547,0.3875782378430429,0.49,0.001,7,14,18,24,33,38,42,48,59,63,66,74,82,88,91,97,106,111,117,123
87,0.5603632478632479,0.5769230769230769,0.3726461512484319,0.38977400271893137,0.5,0.001,7,14,18,24,33,38,42,48,59,63,66,74,82,88,91,96,106,111,117,123
88,0.5605413105413105,0.5769230769230769,0.37281905866440834,0.38977400271893137,0.5,0.001,7,14,18,24,33,38,42,48,59,63,66,74,82,88,91,96,106,111,117,123
89,0.5608974358974359,0.5769230769230769,0.3733491432058159,0.3896745271659596,0.51,0.001,7,14,18,24,33,38,42,48,59,63,66,74,82,88,91,96,106,111,117,123
90,0.5616096866096866,0.5785256410256411,0.37434262066998225,0.3921642703171182,0.52,0.001,7,14,18,24,33,38,42,48,59,63,66,74,82,88,91,96,106,111,117,123
91,0.5628561253561254,0.5769230769230769,0.37620135469284144,0.3897378335426368,0.52,0.001,7,14,18,24,33,38,42,48,59,63,66,74,82,88,91,96,106,111,117,123
92,0.5641025641025641,0.5785256410256411,0.3780249477361942,0.3926029557087817,0.53,0.001,7,14,18,24,33,38,42,48,59,63,66,74,82,88,91,96,106,111,117,123
93,0.5649928774928775,0.5833333333333334,0.37933758131671447,0.40020628999641394,0.53,0.001,7,14,18,24,33,38,42,48,59,63,66,74,82,88,91,96,106,111,117,123
94,0.5662393162393162,0.5833333333333334,0.38132007170958226,0.4003193565556804,0.54,0.001,7,14,18,24,33,38,42,48,59,63,66,74,82,89,91,96,106,111,117,123
95,0.5671296296296297,0.5833333333333334,0.3826207637552044,0.40043238049483554,0.54,0.001,7,14,18,24,33,38,42,48,59,63,66,74,82,89,91,96,106,111,117,123
96,0.5699786324786325,0.5817307692307693,0.3867308140743926,0.39852867314680773,0.55,0.001,7,14,18,24,33,38,43,48,59,63,66,74,82,89,90,96,106,111,117,123
97,0.5708689458689459,0.5833333333333334,0.3880454050256059,0.40110520895241397,0.56,0.001,7,14,18,24,33,38,43,48,59,63,66,74,82,89,90,96,106,111,117,123
98,0.5714031339031339,0.5849358974358975,0.3887827442611703,0.40329631379962194,0.56,0.001,7,14,18,24,33,38,43,48,59,63,66,74,82,89,90,96,106,111,117,123
99,0.5721153846153846,0.5881410256410257,0.3895987641128663,0.407680999903969,0.57,0.001,7,14,18,24,33,38,43,48,59,63,66,74,82,89,90,96,106,111,117,123
100,0.5722934472934473,0.5849358974358975,0.3896304847031752,0.40298992645238974,0.57,0.001,7,14,18,24,33,38,43,48,59,62,66,74,82,89,90,96,106,111,117,123
101,0.57247150997151,0.5849358974358975,0.38978420135794123,0.403276485292,0.58,0.001,7,14,18,24,33,38,43,48,60,62,66,74,82,89,90,96,106,111,117,123
102,0.573005698005698,0.5881410256410257,0.3904611137870482,0.4077575605378516,0.58,0.001,7,14,18,24,33,38,43,48,60,62,66,74,82,89,90,96,106,111,117,123
103,0.5731837606837606,0.5881410256410257,0.39096248186840576,0.4078996920759398,0.59,0.001,7,14,18,24,33,38,43,48,60,62,66,74,82,89,90,96,106,111,117,123
104,0.5744301994301995,0.5865384615384616,0.3927599935612537,0.4059774186406907,0.59,0.001,7,14,18,24,33,38,43,48,60,62,66,74,82,89,90,96,106,111,117,123
105,0.5760327635327636,0.5865384615384616,0.3951971628801102,0.4059774186406907,0.6,0.001,7,14,18,24,33,38,43,48,60,62,66,74,82,89,90,96,106,111,117,123
106,0.5765669515669516,0.5865384615384616,0.39591316013748634,0.40602344294774595,0.61,0.001,7,14,18,24,33,38,43,48,60,62,66,74,82,89,90,96,106,111,117,123
107,0.5776353276353277,0.5865384615384616,0.3974363404932091,0.40630819667294804,0.61,0.001,7,14,18,24,33,38,43,48,60,62,66,74,82,89,90,96,106,111,117,123
