epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
52,0.3617636429345862,0.35102925243770317,0.19609690751917874,0.19286615239975002,0.38,0.001,8,16,24,30,37,46,53,62,69,77,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
53,0.3617636429345862,0.35102925243770317,0.19614015212373892,0.19286615239975002,0.39,0.001,8,16,24,30,37,46,53,62,69,77,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
54,0.3617636429345862,0.35102925243770317,0.1961689792754603,0.1929721871086213,0.4,0.001,8,16,24,30,37,46,53,62,69,77,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
55,0.3617636429345862,0.35102925243770317,0.19618339207600888,0.19307819396118897,0.4,0.001,8,16,24,30,37,46,53,61,69,77,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
56,0.3617636429345862,0.35102925243770317,0.19626985802668095,0.19307819396118897,0.41,0.001,8,16,24,30,37,46,53,61,69,77,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
57,0.3617636429345862,0.35102925243770317,0.19632749166000618,0.19307819396118897,0.42,0.001,8,16,24,30,37,46,53,61,69,76,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
58,0.3617636429345862,0.35102925243770317,0.19641392661375523,0.19307819396118897,0.43,0.001,8,16,24,30,37,46,53,61,68,76,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
59,0.3617636429345862,0.35102925243770317,0.19652914430177337,0.19318417296842938,0.43,0.001,8,16,24,30,37,46,53,61,68,76,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
60,0.36164317552102154,0.35102925243770317,0.1964638966911253,0.1932901241413122,0.44,0.001,8,16,24,29,37,46,53,61,68,76,85,92,96,108,111,119,130,139,147,154,160,166,176,183,191
61,0.36152270810745696,0.35102925243770317,0.19642746085357177,0.1932901241413122,0.45,0.001,8,16,24,29,37,46,53,61,68,76,85,92,96,108,111,119,130,139,147,154,160,166,176,183,191
62,0.3628478496566679,0.352112676056338,0.19854398347872781,0.19560050075127255,0.45,0.001,8,16,24,30,37,46,53,61,68,76,85,92,96,108,111,119,130,139,147,154,160,166,176,183,191
63,0.3640525237923142,0.3531960996749729,0.20050248992663855,0.19752805945239837,0.46,0.001,8,16,24,30,37,46,53,61,68,76,85,92,96,108,111,119,130,139,147,154,160,166,176,183,191
64,0.36549813275508974,0.3531960996749729,0.20275737034786678,0.1979427150804487,0.47,0.001,8,16,24,30,37,46,53,61,68,76,85,92,96,108,111,119,130,139,147,154,160,166,176,183,191
65,0.36658233947717145,0.3553629469122427,0.20456401986719297,0.20125167804269317,0.48,0.001,8,16,24,30,37,46,53,61,68,76,84,92,96,108,111,119,130,139,147,154,160,166,176,183,191
