epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5
153,0.45741476930490305,0.4875406283856988,0.33389561056037864,0.3543335384105726,1.01,0.001,31,65,97,139,164
154,0.45753523671846763,0.4886240520043337,0.3340746814570722,0.35588529253478896,1.02,0.001,31,65,98,139,164
155,0.45813757378629083,0.48970747562296857,0.3348474155790747,0.3572594452181781,1.03,0.001,31,65,98,139,164
156,0.4582580411998554,0.48970747562296857,0.33504002298901725,0.3572594452181781,1.03,0.001,31,65,98,139,164
157,0.4584989760269847,0.49295774647887325,0.33542564538864805,0.36163081452056245,1.04,0.001,31,65,98,139,164
158,0.4584989760269847,0.49295774647887325,0.3354547858250615,0.3616770378163988,1.05,0.001,31,65,98,139,164
159,0.4589808456812432,0.49295774647887325,0.3360644189246138,0.3616770378163988,1.05,0.001,31,65,98,139,164
160,0.4592217805083725,0.49295774647887325,0.3364234607975668,0.3616770378163988,1.06,0.001,31,65,98,139,164
161,0.45946271533550176,0.49295774647887325,0.3367533582453198,0.3616770378163988,1.06,0.001,31,65,98,139,164
162,0.45946271533550176,0.49295774647887325,0.336763703971212,0.3616770378163988,1.07,0.001,31,65,98,139,164
163,0.4600650524033249,0.49295774647887325,0.3375834724440584,0.3616770378163988,1.08,0.001,31,65,98,139,164
164,0.46018551981688954,0.49404117009750814,0.33774159634858925,0.36313320479008304,1.08,0.001,31,65,98,139,164
165,0.4603059872304542,0.49404117009750814,0.3379498693452351,0.36313320479008304,1.09,0.001,31,65,98,139,164
166,0.46066738947114805,0.49404117009750814,0.3383840781822296,0.36313320479008304,1.1,0.001,31,65,98,139,164
167,0.4612697265389712,0.49404117009750814,0.33912250122759335,0.36314261441288365,1.1,0.001,31,65,98,139,164
168,0.4621129984339236,0.49404117009750814,0.3402111308573652,0.36314261441288365,1.11,0.001,31,65,98,139,164
169,0.46271533550174676,0.49404117009750814,0.3409835162127932,0.36314261441288365,1.12,0.001,31,65,98,139,164
170,0.46295627032887604,0.49404117009750814,0.3412817478860227,0.36314261441288365,1.12,0.001,31,65,98,139,164
171,0.46271533550174676,0.49512459371614304,0.3409854635182793,0.3647916423606138,1.13,0.001,31,65,97,139,164
172,0.4631972051560053,0.49512459371614304,0.34161562765032183,0.3647916423606138,1.14,0.001,31,64,97,139,164
173,0.4633176725695699,0.49512459371614304,0.3417836249107925,0.3647916423606138,1.14,0.001,31,64,98,139,164
174,0.4633176725695699,0.49512459371614304,0.3417836249107925,0.3647822613159577,1.15,0.001,31,64,98,139,164
175,0.46343813998313454,0.49512459371614304,0.34194588456743913,0.3647822613159577,1.16,0.001,31,64,98,139,164
176,0.46343813998313454,0.49512459371614304,0.34194588456743913,0.3647822613159577,1.16,0.001,31,64,98,139,164
177,0.4636790748102638,0.49512459371614304,0.34227532231551716,0.3647822613159577,1.17,0.001,31,64,98,139,164
178,0.4635586073966992,0.49512459371614304,0.34213271368678544,0.3647822613159577,1.18,0.001,31,64,98,139,164
179,0.4635586073966992,0.49512459371614304,0.34212352255068823,0.3647822613159577,1.18,0.001,31,64,98,139,164
180,0.4636790748102638,0.49512459371614304,0.34227638754552725,0.3647822613159577,1.19,0.001,31,64,98,139,164
181,0.46379954222382846,0.4962080173347779,0.3424295310288572,0.3659618597683931,1.2,0.001,31,64,98,139,164
182,0.4640404770509577,0.4962080173347779,0.34273524896762997,0.3659618597683931,1.2,0.001,31,64,98,139,164
183,0.4644018792916516,0.4962080173347779,0.34319380800294486,0.3659618597683931,1.21,0.001,31,64,98,139,164
184,0.4646428141187809,0.49729144095341277,0.34349362535768513,0.36737117635589056,1.22,0.001,30,64,98,139,164
185,0.4646428141187809,0.49837486457204766,0.3435363842286413,0.36878028894229276,1.22,0.001,30,64,98,139,164
186,0.4648837489459101,0.49837486457204766,0.3438498624565104,0.36878028894229276,1.23,0.001,30,64,98,139,164
187,0.46524515118660403,0.49837486457204766,0.3443268435791249,0.36878028894229276,1.24,0.001,30,64,98,140,164
188,0.4656065534272979,0.49945828819068255,0.34480060450978123,0.3701891975718906,1.24,0.001,30,64,98,140,164
189,0.46620889049512104,0.49945828819068255,0.34562422002985227,0.3701891975718906,1.25,0.001,30,64,98,140,164
