epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
109,0.45741476930490305,0.49079089924160346,0.3341917367746402,0.36120334852489666,0.83,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,89,98,100,108,110,122,132,137,140,149,153,160,165,174,178,185,192
110,0.45813757378629083,0.48970747562296857,0.3351844994472052,0.35994034219317517,0.84,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,88,98,100,108,110,122,132,137,140,149,153,160,165,174,178,185,192
111,0.4588603782676786,0.48970747562296857,0.3362947363841926,0.3603161243426338,0.84,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,88,98,100,108,110,122,132,137,140,149,153,160,165,174,178,185,192
112,0.4592217805083725,0.4886240520043337,0.3370039874035844,0.3593859365350116,0.85,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,88,98,100,108,110,122,132,137,140,149,153,160,165,174,178,185,192
113,0.459703650162631,0.49079089924160346,0.33779203018602344,0.36243790599923564,0.86,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,88,98,100,108,110,122,132,137,140,149,153,160,165,174,178,185,192
114,0.4609083242982773,0.49079089924160346,0.33963504354230467,0.36243790599923564,0.87,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,88,98,100,108,110,122,132,137,140,149,153,160,165,174,178,185,192
115,0.461992531020359,0.49512459371614304,0.3413080353748734,0.3682706232430256,0.87,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,88,98,100,108,110,122,132,137,140,149,153,160,165,174,178,185,192
116,0.46223346584748826,0.49512459371614304,0.34182445974489895,0.3684932271126915,0.88,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,88,98,100,108,110,122,132,137,140,149,153,160,165,174,178,185,192
117,0.4623539332610529,0.49512459371614304,0.3423802513010482,0.36874902769991225,0.89,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,88,98,100,108,110,122,132,137,140,149,153,160,165,174,178,185,192
118,0.46343813998313454,0.49404117009750814,0.344145877314343,0.3680621732488484,0.9,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,89,98,100,108,110,122,132,137,140,149,153,160,165,174,178,185,192
119,0.4640404770509577,0.49187432286023836,0.34537647746573386,0.3661364055677415,0.9,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,89,98,100,108,110,122,132,138,140,149,153,160,165,174,178,185,192
120,0.46428141187808697,0.49079089924160346,0.3460286239423037,0.36549006644795246,0.91,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,89,98,100,108,110,122,132,138,140,149,153,160,165,174,178,185,192
121,0.46452234670521625,0.49187432286023836,0.3465932876624417,0.3677278855128072,0.92,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,89,98,100,108,110,122,132,138,140,149,153,160,165,174,178,185,192
122,0.46524515118660403,0.49187432286023836,0.3478672944682727,0.3685220141382962,0.93,0.001,7,12,22,28,30,39,45,50,60,65,71,77,81,89,98,100,108,110,122,132,138,140,149,153,160,165,174,178,185,192
123,0.46548608601373326,0.49512459371614304,0.3487125709478903,0.3729665270563607,0.93,0.001,7,12,22,27,30,39,45,50,60,65,71,77,81,89,98,100,108,110,122,132,138,140,149,153,160,165,174,178,185,192
124,0.46620889049512104,0.49512459371614304,0.3500564927705493,0.37349808241046756,0.94,0.001,7,12,22,27,30,39,45,50,60,65,71,77,81,89,98,100,108,110,122,132,138,140,149,153,160,165,174,178,185,192
125,0.46657029273581496,0.4962080173347779,0.35089813976535067,0.3756064703751497,0.95,0.001,7,12,22,27,30,39,45,50,60,65,71,77,81,89,98,100,108,110,123,132,138,140,149,153,160,165,174,178,185,192
