epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
73,0.32208694940243165,0.32454074921758735,63.14080286413949,62.98762511770665,1.32,0.001,284,526,737,1001,1341,1569,1834,2126,2319,2659,2825,3071,3376,3616,3881
74,0.3264935744775832,0.329016872356075,62.935253963150494,62.778574482561325,1.33,0.001,284,525,736,1001,1342,1569,1835,2126,2319,2659,2824,3070,3377,3615,3881
75,0.33101480879018663,0.3335945896014719,62.72365646291776,62.56406091958865,1.35,0.001,284,524,735,1000,1343,1569,1835,2126,2319,2659,2824,3070,3378,3615,3881
76,0.33568912200800116,0.3382873795438974,62.50414244084647,62.34338384917541,1.37,0.001,284,524,734,999,1343,1569,1836,2127,2319,2658,2824,3069,3379,3615,3880
77,0.3404881411943914,0.3430578435881618,62.277964978594156,62.11825211718171,1.39,0.001,285,523,734,998,1344,1569,1836,2127,2318,2658,2824,3068,3380,3615,3880
78,0.345390945008511,0.34794046858667826,62.046044756469975,61.88697997976331,1.4,0.001,285,522,733,997,1345,1570,1837,2128,2318,2658,2823,3068,3381,3615,3880
79,0.3504421225747061,0.3530384095791137,61.806193987612396,61.64457964183672,1.42,0.001,285,522,732,997,1345,1570,1837,2128,2318,2657,2823,3067,3382,3615,3880
80,0.3555721069392448,0.35825877422387276,61.561653309532915,61.39537117374974,1.44,0.001,286,521,731,996,1346,1570,1838,2129,2318,2657,2823,3067,3383,3614,3879
81,0.36084521158898974,0.3635961001095075,61.30926660689231,61.1395268876598,1.45,0.001,286,520,730,995,1346,1570,1838,2129,2318,2657,2823,3066,3384,3614,3879
82,0.3661601279509681,0.36896810940620006,61.05382526982339,60.880937290671085,1.47,0.001,286,520,729,994,1347,1570,1839,2129,2318,2656,2822,3066,3385,3614,3879
83,0.3715380992773575,0.37440508046388465,60.79426073793377,60.6180931954829,1.49,0.001,287,519,728,993,1348,1570,1839,2130,2318,2656,2822,3065,3386,3614,3878
84,0.3769589467981538,0.37987490101889354,60.531498047375095,60.352506566240685,1.5,0.001,287,518,727,993,1348,1571,1840,2130,2318,2656,2822,3065,3388,3614,3878
85,0.38252541086335223,0.385477665658563,60.26048599102898,60.0792486078284,1.52,0.001,287,517,726,992,1349,1571,1840,2131,2318,2655,2822,3065,3389,3614,3878
86,0.3881998557043336,0.3911807038721824,59.98296063388543,59.7998186497825,1.54,0.001,288,517,725,991,1349,1571,1841,2131,2318,2655,2821,3065,3390,3614,3877
87,0.3939900043428528,0.3969740281621399,59.6984405876213,59.51461997051124,1.55,0.001,288,516,724,990,1350,1571,1841,2132,2318,2655,2821,3064,3391,3614,3877
88,0.3998386372240774,0.4028034572682281,59.40966504518646,59.2262569450303,1.57,0.001,288,515,723,990,1350,1571,1842,2132,2318,2655,2821,3064,3392,3614,3877
89,0.40576017263237896,0.408734260474759,59.11585305170898,58.931433194513225,1.59,0.001,289,514,723,989,1351,1571,1842,2132,2318,2655,2821,3064,3393,3614,3876
90,0.4117353339371823,0.41470077115631854,58.81789627209562,58.63333870933093,1.6,0.001,289,514,722,988,1351,1571,1843,2133,2318,2654,2821,3064,3394,3614,3876
91,0.4177626286391761,0.4206863535868166,58.51580023338248,58.332762506507656,1.62,0.001,289,513,721,987,1351,1571,1843,2133,2318,2654,2820,3064,3396,3614,3876
92,0.42390196856580353,0.4268441913265999,58.206474316382966,58.02190748369856,1.64,0.001,290,512,720,987,1352,1571,1844,2133,2318,2654,2820,3064,3397,3614,3875
93,0.4301417863497212,0.4330568122150621,57.890393049467846,57.70659429727789,1.66,0.001,290,511,719,986,1352,1571,1844,2134,2318,2654,2820,3065,3398,3614,3875
94,0.43633305430798597,0.4392656048960435,57.575055040274385,57.389738030853565,1.67,0.001,290,510,718,985,1352,1571,1845,2134,2318,2654,2820,3065,3399,3614,3874
95,0.44258443334269737,0.4455961621523128,57.254897528644875,57.064863809884145,1.69,0.001,291,510,717,985,1352,1571,1845,2134,2319,2654,2820,3065,3400,3615,3874
96,0.4488920800268268,0.4518853133273396,56.93003218384059,56.74026795682675,1.71,0.001,291,509,716,984,1352,1571,1845,2135,2319,2654,2819,3065,3401,3615,3874
