epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5
59,0.35728456708341005,0.3716461423358052,62.22630698707742,60.667559159529404,0.92,0.001,657,1420,2123,2716,3463
60,0.36083437362994286,0.3751230701005823,62.05423062984908,60.49947539803548,0.93,0.001,656,1420,2123,2716,3463
61,0.36441018561145566,0.3785817464566035,61.88040143721799,60.33181159416958,0.94,0.001,655,1421,2124,2715,3463
62,0.36800364458453383,0.38204156755850316,61.70522794909682,60.163625765360706,0.95,0.001,655,1421,2124,2714,3464
63,0.37162401778913334,0.3855055799426269,61.5282364199814,59.99476498972118,0.96,0.001,654,1421,2124,2714,3464
64,0.3752792202505465,0.38898554021814236,61.349023111364616,59.824646102170966,0.98,0.001,653,1422,2125,2713,3464
65,0.37898328707599827,0.3924782408184029,61.16687798874997,59.65341386003193,0.99,0.001,652,1422,2125,2713,3464
66,0.3826911915035768,0.3959556574759321,60.98400068742416,59.48244390416806,1.0,0.001,651,1422,2126,2712,3464
67,0.3864336154802003,0.39947598861120015,60.79886473549485,59.30886118974971,1.01,0.001,651,1422,2126,2712,3464
68,0.39019858620445325,0.40301478351735065,60.612037515636075,59.13385240283268,1.02,0.001,650,1423,2126,2711,3464
69,0.3939947624638791,0.40656678993133244,60.42308110704675,58.95766986523043,1.03,0.001,649,1423,2126,2711,3464
70,0.3979715722545507,0.41028702030087794,60.22449862286111,58.77257711137482,1.05,0.001,648,1423,2127,2710,3464
71,0.4018084452155476,0.41380075241609005,60.03227891492001,58.597218647331076,1.06,0.001,648,1423,2127,2710,3464
72,0.40581159581929627,0.4174883784506487,59.83106915255234,58.41261794806731,1.07,0.001,647,1423,2127,2709,3464
73,0.40985787693509224,0.4212625769579881,59.62700222660242,58.223077536424505,1.08,0.001,646,1424,2127,2709,3464
74,0.4139950628474013,0.42509019552082683,59.41762655730305,58.03022136608541,1.09,0.001,645,1424,2127,2708,3463
75,0.4182541986876055,0.4290750221742189,59.20131050927526,57.8287624931087,1.1,0.001,644,1424,2128,2708,3463
76,0.42262190675544375,0.433175423193113,58.978650384455854,57.62072499733711,1.11,0.001,644,1424,2128,2708,3463
77,0.42709352580805493,0.43740605431573987,58.74981923176977,57.405288846063655,1.13,0.001,643,1424,2128,2707,3463
78,0.4316423207808322,0.44166326953493673,58.51612357931786,57.18768143755371,1.14,0.001,642,1424,2128,2707,3463
79,0.4362048420347694,0.445948593538011,58.28077873468984,56.96779646418119,1.15,0.001,641,1423,2128,2706,3463
80,0.44077963853008817,0.4503372289714672,58.04384455413855,56.74172873024644,1.16,0.001,641,1423,2128,2706,3464
81,0.44533362599585613,0.45476061585332384,57.80702254457282,56.51295309207881,1.17,0.001,640,1423,2128,2706,3464
82,0.44985354681265766,0.459160339244843,57.57100744678262,56.28447728115186,1.18,0.001,639,1423,2128,2706,3464
83,0.4543803481655264,0.46359128357056023,57.33366311148495,56.05344347487159,1.2,0.001,638,1422,2128,2705,3464
84,0.45888976246280466,0.4679941485598519,57.09624720866075,55.82292517066241,1.21,0.001,638,1422,2128,2705,3464
85,0.46340527764922945,0.4723965349846124,56.857515770647026,55.59147515019726,1.22,0.001,637,1422,2128,2705,3464
86,0.46791378789862237,0.4767531718341864,56.618150713656966,55.36147637487868,1.23,0.001,636,1421,2127,2705,3464
87,0.4723080779408724,0.48097256509717656,56.383870647026576,55.137813402390876,1.24,0.001,635,1421,2127,2704,3464
88,0.4763624862085466,0.48489638636906807,56.16684826256499,54.928998026714,1.25,0.001,634,1420,2127,2704,3464
89,0.47984573207754877,0.48808996301005925,55.97972611873092,54.75845619984757,1.27,0.001,634,1419,2127,2704,3464
90,0.48359451987533153,0.4918429995274143,55.777636875280265,54.5573585421229,1.28,0.001,633,1419,2126,2704,3464
91,0.48880176620052385,0.49677922605738667,55.49570207879841,54.29172637459943,1.29,0.001,632,1418,2126,2704,3464
92,0.49391601592746925,0.5018963545272582,55.21740147617642,54.01498318247563,1.3,0.001,632,1418,2125,2704,3464
93,0.4974120832583695,0.5053327398924121,55.02634977828236,53.82833590307014,1.31,0.001,631,1417,2125,2704,3464
94,0.5006500339538582,0.5082086660884583,54.84880897251211,53.67163391503351,1.32,0.001,630,1416,2124,2704,3463
95,0.5051411762846595,0.5129393150300394,54.6015954759165,53.41287124329795,1.34,0.001,629,1416,2124,2704,3464
