dataset,target_size,fold,algorithm,repeat,time,metric1,metric2,selected_features
ghisaconus,30,9,bsdr,0,2.771051,0.7031700288184438,0.5908487304530988,5-11-16-18-19-25-28-39-40-45-47-59-62-72-77-82-90-91-99-105-107-117-120-123-126
indian_pines,5,0,bsdr,0,3.133117,0.7524366471734892,0.7155735808365458,30-63-98-137-163
indian_pines,5,1,bsdr,0,3.132959,0.723196881091618,0.6859612441532128,30-63-98-139-163
indian_pines,5,2,bsdr,0,3.138628,0.723196881091618,0.6829570826097742,30-63-98-140-163
indian_pines,5,3,bsdr,0,3.134462,0.7290448343079922,0.6881131605075428,30-63-98-137-163
indian_pines,5,4,bsdr,0,3.141422,0.7017543859649122,0.6611127422196124,30-63-98-139-163
indian_pines,5,5,bsdr,0,3.141397,0.6900584795321637,0.637932182474332,30-63-98-140-163
indian_pines,5,6,bsdr,0,3.14514,0.7056530214424951,0.6647914872624833,30-63-98-139-163
indian_pines,5,7,bsdr,0,3.144282,0.7602339181286549,0.7274564938514765,30-63-98-139-163
indian_pines,5,8,bsdr,0,3.148923,0.6666666666666666,0.6211553244599533,30-63-98-139-163
indian_pines,5,9,bsdr,0,3.158071,0.69921875,0.6577094385163704,30-63-98-139-163
indian_pines,10,0,bsdr,0,3.604357,0.7212475633528265,0.6802693514644351,19-37-55-74-92-108-128-149-160-182
indian_pines,10,1,bsdr,0,3.300953,0.7738791423001949,0.7442067391388448,19-37-55-74-92-108-128-149-160-182
indian_pines,10,2,bsdr,0,3.294755,0.7719298245614035,0.7401598323751473,19-37-55-74-92-108-128-149-160-182
indian_pines,10,3,bsdr,0,3.294985,0.7153996101364523,0.6742134589537145,19-37-55-74-92-108-128-149-160-182
indian_pines,10,4,bsdr,0,3.294246,0.7426900584795322,0.7064975706168163,19-37-55-74-92-108-128-149-160-182
indian_pines,10,5,bsdr,0,3.319682,0.723196881091618,0.6808807037218757,19-37-55-74-92-108-128-149-160-182
indian_pines,10,6,bsdr,0,3.295878,0.7115009746588694,0.671758068351311,19-37-55-74-92-108-128-149-160-182
indian_pines,10,7,bsdr,0,3.29428,0.7660818713450293,0.7342037771042201,19-37-55-74-92-108-128-149-160-181
indian_pines,10,8,bsdr,0,3.304019,0.6881091617933723,0.6483290488431876,19-37-55-74-92-108-129-149-160-182
indian_pines,10,9,bsdr,0,3.356817,0.7421875,0.7037011056844985,19-37-55-74-92-108-128-149-160-181
indian_pines,15,0,bsdr,0,3.462758,0.7368421052631579,0.698448154244063,11-27-36-51-60-78-86-101-111-126-140-149-160-172-184
indian_pines,15,1,bsdr,0,3.532864,0.732943469785575,0.6982961789591624,11-27-36-51-60-78-86-101-111-127-140-149-160-173-184
indian_pines,15,2,bsdr,0,3.639599,0.7719298245614035,0.7390788358293303,11-27-36-51-61-78-86-101-111-127-140-148-160-173-184
